branch_code,name,city,street,building_number,orientation_number,longitude,latitude
z-box-ceske-budejovice-j-boreckeho-1661-34-baumax,Z-BOX,České Budějovice,J. Boreckého,1661,34,14.45982,48.98866
z-box-ceske-budejovice-hradebni-359-12,Z-BOX,České Budějovice,Hradební,359,12,14.4776,48.97564
z-box-ceske-budejovice-novohradska-324-16,Z-BOX,České Budějovice,Novohradská,324,16,14.48395,48.97082
z-box-ceske-budejovice-jeronymova-1750-21-billa,Z-BOX,České Budějovice,Jeronýmova,1750,21,14.48183,48.97395
z-box-strazkovice-strazkovice-53,Z-BOX,Strážkovice,Strážkovice,53,,14.56928,48.89933
z-box-trhove-sviny-skolni-661-sti-bus,Z-BOX,Trhové Sviny,Školní,661,,14.63338,48.84217
z-box-ceske-budejovice-otakarova-2530-2,Z-BOX,České Budějovice,Otakarova,2530,2,14.48022,48.97646
z-box-ceske-budejovice-cecova-793-51,Z-BOX,České Budějovice,Čéčova,793,51,14.46608,48.98664
z-box-ceske-budejovice-prazska-tr-2176-65-jednota-cb,Z-BOX,České Budějovice,Pražská tř.,2176,65,14.47034,48.98401
z-box-ceske-budejovice-nadrazni-31,Z-BOX,České Budějovice,Nádražní,31,,14.4874,48.97423
z-box-ceske-budejovice-prazska-trida-1247-24-igy-centrum,Z-BOX,České Budějovice,Pražská třída,1247,24,14.47234,48.9835
z-box-ceske-budejovice-pisecka-1459,Z-BOX,České Budějovice,Písecká,1459,,14.45357,48.99514
z-box-ceske-budejovice-horymirova-242-9,Z-BOX,České Budějovice,Horymírova,242,9,14.50061,48.96724
srubec-do-mladeho,Z-BOX,Srubec,Do Mladého,,,14.51587,48.95969
z-box-horni-stropnice-horni-stropnice-55,Z-BOX,Horní Stropnice,Horní Stropnice,55,,14.7341,48.76105
z-box-ceske-budejovice-dobrovodska-2009-50-a,Z-BOX,České Budějovice,Dobrovodská 2009/50a,,,14.49734,48.97155
ceske-budejovice-v-nezvala-1504-33,Z-BOX,České Budějovice,V. Nezvala,1504,33,14.50673,48.96914
z-box-ceske-budejovice-suchovrbenske-nam-708-2,Z-BOX,České Budějovice,Suchovrbenské náměstí,708,2,14.50364,48.97073
z-box-ceske-budejovice-rudolfovska-trida-213-lidl,Z-BOX,České Budějovice,Rudolfovská třída,213,,14.4932,48.97832
z-box-ceske-budejovice-krcinova-748,Z-BOX,České Budějovice,Krčínova,748,,14.45487,48.99465
z-box-borovany-nadrazi-cd-128,Z-BOX,Borovany,Nádraží ČD,128,,14.64285,48.89193
z-box-ceske-budejovice-knezskodvorska-2296-8-a,Z-BOX,České Budějovice,Kněžskodvorská 2296/8a,,,14.47287,48.98825
z-box-borovany-zizkovo-nam-57-flop,Z-BOX,Borovany,Žižkovo náměstí,57,,14.6413,48.90105
z-box-dobra-voda-u-ceskych-budejovic-lazenska-1514-58-u-potravin,Z-BOX,Dobrá Voda u Českých Budějovic,Lázeňská,1514,58,14.52814,48.96514
z-box-nove-hrady-vitorazska-295,Z-BOX,Nové Hrady,Vitorazská,295,,14.78309,48.78958
z-box-ledenice-truhlarska-665-ve-dvore-mu,Z-BOX,Ledenice,Truhlářská,665,,14.6187,48.93205
z-box-ceske-budejovice-prubezna-2551,Z-BOX,České Budějovice,Průběžná,2551,,14.46758,48.99185
z-box-ceske-budejovice-krcinova-1408-aaa-auto,Z-BOX,České Budějovice,Krčínova,1408,,14.45448,48.99661
z-box-jilovice-jilovice-170,Z-BOX,Jílovice,Jílovice,170,,14.72771,48.88761
z-box-ceske-budejovice-suchomelska-2251-terno,Z-BOX,České Budějovice,Suchomelská,2251,,14.47046,48.99421
z-box-ceske-budejovice-ceske-vrbne-2360-gecko-bily-polep,Z-BOX,České Budějovice,České Vrbné,2360,,14.45117,48.99965
z-box-ceske-budejovice-ceske-vrbne-2360-gecko,Z-BOX,České Budějovice,České Vrbné,2360,,14.45216,48.99982
ceske-budejovice-ceske-vrbne-2327-1,Z-BOX,České Budějovice,České Vrbné,2327,,14.45159,49.00155
z-box-vrato-vrato-20,Z-BOX,Vráto,Vráto,20,,14.52675,48.98769
z-box-ceske-velenice-revolucni-228,Z-BOX,České Velenice,Revoluční,228,,14.96419,48.76818
z-box-hlincova-hora-hlincova-hora-44,Z-BOX,Hlincova Hora,Hlincova Hora,44,,14.56369,48.98391
z-box-ceske-budejovice-za-otylii-2874-6,Z-BOX,České Budějovice,Za Otýlií,2874,6,14.48979,48.99684
z-box-ceske-velenice-trida-csl-legii-649,Z-BOX,České Velenice,Třída Čsl. legií,649,,14.97188,48.77051
z-box-rudolfov-na-placku-parkoviste,Z-BOX,Rudolfov,Na Plácku,,,14.53515,48.9922
z-box-suchdol-nad-luznici-bezrucova-autobusova-zastavka,Z-BOX,Suchdol nad Lužnicí,Bezručova,,,14.87803,48.89237
suchdol-nad-luznici-prazska-839,Z-BOX,Suchdol nad Lužnicí,Pražská,839,,14.88071,48.89891
z-box-rapsach-rapsach-11,Z-BOX,Rapšach,Rapšach,11,,14.93476,48.87917
z-box-stepanovice-u-trebone-vlkovicka-154,Z-BOX,Štěpánovice u Třeboně,Vlkovická,154,,14.65406,49.00082
z-box-chlum-u-trebone-499-flop-top,Z-BOX,Chlum u Třeboně 499 (Flop Top),Chlum u Třeboně 499 (Flop Top),,,14.93417,48.95873
trebon-b-nemcove-817,Z-BOX,Třeboň,B. Němcové,817,,14.75445,49.00439
z-box-trebon-dukelska-138,Z-BOX,Třeboň,Dukelská,138,,14.77311,49.00447
z-box-trebon-taboritska-1320,Z-BOX,Třeboň,Táboritská,1320,,14.75793,49.00731
z-box-trebon-nadrazni-641-terno,Z-BOX,Třeboň,Nádražní,641,,14.75876,49.01195
trebon-na-kopecku-1151,Z-BOX,Třeboň,Na Kopečku,1151,,14.78827,49.01158
z-box-lisov-tr-i-da-5-kve-tna,Z-BOX,Lišov,Třída 5.května,,,14.5922,49.01143
z-box-hury-na-sadech-155,Z-BOX,Hůry,Na Sadech,155,,14.53895,49.00628
z-box-lisov-jirsikova-436-45-postkom,Z-BOX,Lišov,Jirsíkova,436,45,14.60754,49.01908
nova-bystrice-u-nadrazi-381,Z-BOX,Nová Bystřice,U Nádraží,381,,15.1109,49.01884
nova-bystrice-svermova-288,Z-BOX,Nová Bystřice,Švermova,288,,15.10624,49.0227
