name,city,postal_code,street,building_number,orientation_number,ruian_code
Karlovy Vary 17,Karlovy Vary,36017,Školní,742,7a,20710569.0
Jenišov,Jenišov,36211,,88,0,11935413.0
Stanovice,Stanovice,36213,,44,0,11984821.0
Kolová,Kolová,36214,,16,0,11938358.0
Březová u Karlových Var,Březová,36215,Hamerská,51,81,11936100.0
Nejdek 1,Nejdek,36221,Poštovní,972,0,20721331.0
Černava,Černava,36223,,80,0,11900458.0
Nové Hamry,Nové Hamry,36224,,260,0,11961651.0
Nová Role,Nová Role,36225,Chodovská,236,6,11959240.0
Božičany,Božičany,36226,,96,0,11899395.0
Otovice u Karlových Var,Otovice,36232,Hroznětínská,130,0,11969083.0
Hroznětín,Hroznětín,36233,Krušnohorské náměstí,1,0,11917172.0
Merklín u Karlových Var,Merklín,36234,,49,0,11950188.0
Abertamy,Abertamy,36235,Rooseweltova,251,0,11883472.0
Pernink,Pernink,36236,T. G. Masaryka,1,0,11972131.0
Horní Blatná,Horní Blatná,36237,náměstí Sv. Vavřince,118,0,11913711.0
Potůčky,Potůčky,36238,,85,0,11977566.0
Jáchymov,Jáchymov,36251,K Lanovce,1048,0,25176072.0
Sadov,Sadov,36261,,31,0,11983248.0
Boží Dar,Boží Dar,36262,,1,0,11897040.0
Dalovice,Dalovice,36263,Hlavní,131,23,11903783.0
Kyselka,Kyselka,36272,,178,0,11947772.0
Vojkovice nad Ohří,Vojkovice,36273,,31,0,12014851.0
Stráž nad Ohří,Stráž nad Ohří,36274,,21,0,11987057.0
Ostrov nad Ohří,Ostrov,36301,Hlavní třída,800,0,12037591.0
Toužim,Toužim,36401,náměstí Jiřího z Poděbrad,36,0,12045900.0
Štědrá,Štědrá,36451,,83,0,11996650.0
Žlutice,Žlutice,36452,Velké náměstí,147,0,12018775.0
Chyše,Chyše,36453,Žižkovo náměstí,18,0,11927241.0
Valeč v Čechách,Valeč,36455,Náměstí,119,0,12009075.0
Verušičky,Verušičky,36456,,5,0,12012360.0
Teplá u Toužimě,Teplá,36461,Klášterní,156,0,12000108.0
Otročín,Otročín,36463,,61,0,11970910.0
Bečov nad Teplou,Bečov nad Teplou,36464,náměstí 5. května,2,0,11889314.0
Útvina,Útvina,36466,,155,0,12007854.0
Bochov,Bochov,36471,Školní,47,0,20667281.0
Stružná,Stružná,36472,,83,0,11990180.0
České Budějovice 1,České Budějovice,37001,Senovážné náměstí,240,1,25432923.0
České Budějovice 4,České Budějovice,37004,Pražská tř.,2304,69,25286960.0
České Budějovice 5,České Budějovice,37005,Ant. Barcala,404,38,28072863.0
České Budějovice 6,České Budějovice,37006,E. Beneše,656,17,23391260.0
České Budějovice 7,České Budějovice,37007,Boršovská,1779,2,23430443.0
České Budějovice 8,České Budějovice,37008,náměstí Švabinského,960,9,25292447.0
České Budějovice 11,České Budějovice,37011,Fr. Ondříčka,1243,46,25285254.0
